id,date,time,lat,long
8,3/3/2022,11:57:00 PM,-8.04264,-35.1981
8,3/4/2022,5:57:00 AM,-8.04262,-35.19809
8,3/4/2022,11:57:00 AM,-8.04263,-35.1981
8,3/4/2022,5:57:00 PM,-8.04266,-35.19809
8,3/4/2022,11:57:00 PM,-8.04263,-35.19809
8,3/5/2022,5:57:00 AM,-8.04263,-35.1981
8,3/5/2022,11:57:00 AM,-8.04264,-35.1981
8,3/5/2022,5:57:00 PM,-8.04268,-35.19809
8,3/5/2022,11:57:00 PM,-8.04264,-35.19809
8,3/6/2022,5:57:00 AM,-8.04263,-35.19809
8,3/6/2022,11:57:00 AM,-8.04263,-35.19809
8,3/6/2022,5:58:00 PM,-8.04264,-35.19809
8,3/6/2022,11:57:00 PM,-8.04265,-35.19807
8,3/7/2022,5:57:00 AM,-8.04262,-35.1981
8,3/7/2022,11:58:00 AM,-8.04262,-35.19809
8,3/7/2022,5:58:00 PM,-8.04264,-35.19808
8,3/7/2022,11:58:00 PM,-8.04264,-35.19808
8,3/8/2022,5:58:00 PM,-8.04266,-35.19811
8,3/8/2022,11:58:00 PM,-8.04265,-35.19807
8,3/8/2022,5:57:00 AM,-8.04263,-35.1981
8,3/9/2022,5:57:00 PM,-8.04265,-35.1981
8,3/9/2022,11:58:00 PM,-8.04263,-35.19811
8,3/9/2022,5:57:00 AM,-8.04261,-35.19808
8,3/9/2022,11:58:00 AM,-8.04263,-35.1981
8,3/10/2022,5:58:00 PM,-8.04264,-35.19808
8,3/10/2022,11:58:00 PM,-8.04262,-35.19807
8,3/10/2022,5:58:00 AM,-8.04263,-35.1981
8,3/10/2022,11:58:00 AM,-8.04263,-35.19811
8,3/11/2022,5:58:00 PM,-8.04266,-35.19809
8,3/11/2022,11:58:00 PM,-8.04262,-35.1981
8,3/11/2022,5:58:00 AM,-8.04262,-35.1981
8,3/11/2022,11:58:00 AM,-8.04263,-35.19808
8,3/12/2022,5:58:00 PM,-8.04262,-35.19806
8,3/12/2022,11:58:00 PM,-8.04263,-35.19809
8,3/12/2022,5:58:00 AM,-8.04262,-35.1981
8,3/12/2022,11:58:00 AM,-8.04263,-35.19811
8,3/13/2022,5:58:00 PM,-8.04267,-35.19806
8,3/13/2022,11:58:00 PM,-8.04263,-35.19809
8,3/13/2022,5:58:00 AM,-8.04262,-35.19809
8,3/13/2022,11:58:00 AM,-8.04264,-35.1981
8,3/14/2022,5:58:00 PM,-8.04265,-35.19809
8,3/14/2022,11:58:00 PM,-8.04264,-35.19806
8,3/14/2022,5:58:00 AM,-8.04262,-35.1981
8,3/14/2022,11:58:00 AM,-8.04263,-35.19809
8,3/15/2022,5:58:00 PM,-8.04265,-35.19809
8,3/15/2022,11:58:00 PM,-8.04264,-35.19807
8,3/15/2022,5:58:00 AM,-8.04261,-35.19815
8,3/15/2022,11:58:00 AM,-8.04264,-35.19809
8,3/16/2022,5:59:00 PM,-8.04268,-35.19807
8,3/16/2022,11:58:00 PM,-8.04265,-35.19806
8,3/16/2022,5:58:00 AM,-8.04262,-35.19813
8,3/16/2022,11:58:00 AM,-8.04263,-35.19809
8,3/17/2022,5:58:00 PM,-8.04263,-35.1981
8,3/17/2022,11:59:00 PM,-8.04264,-35.19809
8,3/17/2022,5:58:00 AM,-8.04263,-35.19808
8,3/17/2022,11:58:00 AM,-8.04263,-35.19809
8,3/18/2022,5:59:00 PM,-8.04264,-35.1981
8,3/18/2022,11:59:00 PM,-8.04264,-35.19807
8,3/18/2022,5:59:00 AM,-8.04263,-35.1981
8,3/18/2022,11:59:00 AM,-8.04262,-35.19809
8,3/19/2022,5:59:00 PM,-8.04268,-35.19804
8,3/19/2022,11:58:00 PM,-8.04263,-35.19808
8,3/19/2022,5:59:00 AM,-8.04262,-35.1981
8,3/19/2022,11:59:00 AM,-8.04263,-35.19809
8,3/20/2022,5:59:00 PM,-8.04266,-35.19805
8,3/20/2022,11:59:00 PM,-8.04261,-35.19809
8,3/20/2022,5:59:00 AM,-8.04263,-35.19809
8,3/20/2022,11:59:00 AM,-8.04264,-35.19807
8,3/21/2022,5:59:00 PM,-8.04263,-35.19809
8,3/21/2022,11:59:00 PM,-8.04265,-35.19811
8,3/21/2022,5:59:00 AM,-8.04263,-35.1981
8,3/21/2022,11:59:00 AM,-8.04261,-35.1981
8,3/22/2022,5:59:00 PM,-8.04265,-35.19806
8,3/22/2022,11:59:00 PM,-8.04264,-35.19809
8,3/22/2022,5:59:00 AM,-8.04262,-35.1981
8,3/22/2022,12:00:00 PM,-8.04263,-35.19809
8,3/23/2022,5:59:00 PM,-8.04263,-35.19805
8,3/23/2022,11:59:00 PM,-8.04262,-35.19807
8,3/23/2022,5:59:00 AM,-8.04263,-35.1981
8,3/23/2022,11:59:00 AM,-8.04262,-35.1981
8,3/24/2022,5:59:00 PM,-8.04264,-35.19808
8,3/24/2022,11:59:00 PM,-8.04265,-35.19809
8,3/24/2022,6:00:00 AM,-8.04264,-35.19807
8,3/24/2022,11:59:00 AM,-8.04263,-35.1981
8,3/25/2022,5:59:00 PM,-8.04263,-35.19809
8,3/25/2022,11:59:00 PM,-8.04264,-35.19809
8,3/25/2022,5:59:00 AM,-8.04264,-35.19808
8,3/25/2022,11:59:00 AM,-8.04262,-35.19809
8,3/26/2022,5:59:00 PM,-8.04265,-35.1981
8,3/26/2022,11:30:00 AM,-8.04137,-35.18845
8,3/26/2022,5:59:00 AM,-8.04263,-35.19809
8,3/26/2022,12:00:00 PM,-8.04263,-35.19805
8,3/29/2022,6:01:00 AM,-8.04257,-35.19809
8,5/22/2022,11:36:00 AM,-8.04138,-35.18844
8,5/23/2022,5:36:00 PM,-8.04137,-35.18851
